Phrase,Entities
Mon intention est de partir de la pittoresque ville de Nice pour rejoindre la séduisante cité de Montpellier,"[[56, 60, 'DEPARTURE'], [98, 109, 'DESTINATION']]"
J'entame mon périple depuis la distinguée ville de Rennes en direction de la ravissante cité de Toulon,"[[52, 58, 'DEPARTURE'], [97, 103, 'DESTINATION']]"
"En provenance de la historique cité de Nîmes, je désire me rendre à la distinguée ville d'Angers","[[40, 45, 'DEPARTURE'], [89, 97, 'DESTINATION']]"
J'entame mon voyage depuis la charmante cité de Grenoble en vue de me rendre à la pittoresque ville de Clermont-Ferrand,"[[49, 57, 'DEPARTURE'], [104, 120, 'DESTINATION']]"
Je souhaite me rendre à la noble ville de Bordeaux en quittant la belle cité de Marseille,"[[43, 51, 'DESTINATION'], [81, 90, 'DEPARTURE']]"
Je pars de la glorieuse ville de Strasbourg en vue de rejoindre la prestigieuse cité de Lyon,"[[34, 44, 'DEPARTURE'], [89, 93, 'DESTINATION']]"
"Paris est ma ville de départ, où je démarre mon voyage en direction de la vénérable cité de Lille","[[1, 6, 'DEPARTURE'], [93, 98, 'DESTINATION']]"
Je quitte la somptueuse ville de Montpellier en vue de gagner la belle cité de Toulouse,"[[34, 45, 'DEPARTURE'], [80, 88, 'DESTINATION']]"
"En provenance de la charmante cité de Marseille, je désire me rendre à la magnifique ville de Nice","[[39, 48, 'DEPARTURE'], [95, 99, 'DESTINATION']]"
Je m'éclipse de la ravissante cité de Lille en direction de la distinguée ville de Rennes,"[[39, 44, 'DEPARTURE'], [84, 90, 'DESTINATION']]"
Je souhaite me rendre à la prestigieuse cité de Lyon en partant de la séduisante ville de Toulon,"[[49, 53, 'DESTINATION'], [91, 97, 'DEPARTURE']]"
Je quitte la noble ville de Clermont-Ferrand en vue de me rendre à la pittoresque ville de Nîmes,"[[29, 45, 'DEPARTURE'], [92, 97, 'DESTINATION']]"
"En provenance de la distinguée ville d'Angers, je désire me rendre à la prestigieuse cité de Bordeaux","[[38, 46, 'DEPARTURE'], [94, 102, 'DESTINATION']]"
Je pars de la charmante cité de Toulouse en vue de rejoindre la majestueuse ville de Paris,"[[33, 41, 'DEPARTURE'], [86, 91, 'DESTINATION']]"
La ville de Nantes est mon point de départ pour me rendre à la vénérable cité de Strasbourg,"[[13, 19, 'DEPARTURE'], [82, 92, 'DESTINATION']]"
Je quitte la magnifique ville de Nice en vue de me rendre à la pittoresque ville de Montpellier,"[[34, 38, 'DEPARTURE'], [85, 96, 'DESTINATION']]"
Je souhaite me transporter de Marseille à Paris,"[[31, 40, 'DEPARTURE'], [43, 48, 'DESTINATION']]"
J'entends migrer de Bordeaux à Lyon,"[[21, 29, 'DEPARTURE'], [32, 36, 'DESTINATION']]"
Je prévois de voyager de Toulon à Strasbourg,"[[26, 32, 'DEPARTURE'], [35, 45, 'DESTINATION']]"
Je désire me déplacer de Nantes à Marseille,"[[26, 32, 'DEPARTURE'], [35, 44, 'DESTINATION']]"
Mon intention est de cheminer de Lyon à Toulouse,"[[34, 38, 'DEPARTURE'], [41, 49, 'DESTINATION']]"
Je projette de transiter de Nice à Lille,"[[29, 33, 'DEPARTURE']]"
Je compte me déplacer de Montpellier à Rennes,"[[26, 37, 'DEPARTURE'], [40, 46, 'DESTINATION']]"
J'envisage de transférer mon lieu de résidence de Strasbourg à Bordeaux,"[[51, 61, 'DEPARTURE'], [64, 72, 'DESTINATION']]"
Je médite sur un déplacement de Paris à Nîmes,"[[33, 38, 'DEPARTURE'], [41, 46, 'DESTINATION']]"
Je songe à me rendre de Clermont-Ferrand à Angers,"[[25, 41, 'DEPARTURE'], [44, 50, 'DESTINATION']]"
Je prévois de me rendre à Paris depuis Toulouse pour assister à une conférence sur l'intelligence artificielle,"[[27, 32, 'DESTINATION'], [40, 48, 'DEPARTURE']]"
Mon ami Pierre et moi quittons Lyon pour une escapade à Marseille ce week-end,"[[32, 36, 'DEPARTURE'], [57, 66, 'DESTINATION']]"
"En tant que représentant de l'entreprise Paris Transport, je pars de Bordeaux pour rencontrer nos partenaires à Lille","[[70, 78, 'DEPARTURE'], [113, 118, 'DESTINATION']]"
J'ai réservé un vol depuis Nantes pour me rendre à Strasbourg et rencontrer M. Toulon.,"[[28, 34, 'DEPARTURE'], [52, 62, 'DESTINATION']]"
Je m'envole depuis Nice pour Montpellier afin de participer à un événement caritatif,"[[20, 24, 'DEPARTURE'], [30, 41, 'DESTINATION']]"
"Dans le cadre de mon travail, je dois quitter Rennes pour Toulon afin d'inspecter nos installations","[[47, 53, 'DEPARTURE'], [59, 65, 'DESTINATION']]"
"En partant de Nîmes, je vais à Angers pour une réunion importante avec l'équipe de développement","[[15, 20, 'DEPARTURE'], [32, 38, 'DESTINATION']]"
Mon collègue et moi quittons Grenoble pour Clermont-Ferrand afin de participer à une formation,"[[30, 38, 'DEPARTURE'], [44, 60, 'DESTINATION']]"
Je souhaite me rendre à Bordeaux depuis Marseille pour visiter le musée d'art contemporain,"[[25, 33, 'DESTINATION'], [41, 50, 'DEPARTURE']]"
"J'ai réservé un billet de train depuis Strasbourg pour Lyon, où je retrouverai l'écrivain célèbre Jean Clermont","[[40, 50, 'DEPARTURE'], [56, 60, 'DESTINATION']]"
"Le club de randonnée organise un voyage, et je pars de Paris pour rejoindre Lille avec le groupe Nice Hiking","[[56, 61, 'DEPARTURE'], [77, 82, 'DESTINATION']]"
Je quitte Montpellier pour Toulouse afin de célébrer le mariage de ma sœur Paris,"[[11, 22, 'DEPARTURE'], [28, 36, 'DESTINATION']]"
"En tant que membre de l'orchestre, je pars de Marseille pour Nice, où nous donnerons un concert","[[47, 56, 'DEPARTURE'], [62, 66, 'DESTINATION']]"
"J'ai été invité à une conférence à Lille, alors je pars de Rennes pour m'y rendre","[[36, 41, 'DESTINATION'], [60, 66, 'DEPARTURE']]"
"En partant de Toulon, je vais à Lyon pour rencontrer le fondateur de notre startup","[[15, 21, 'DEPARTURE'], [33, 37, 'DESTINATION']]"
Je prévois de quitter Clermont-Ferrand pour Nîmes et rendre visite à mon ami d'enfance,"[[23, 39, 'DEPARTURE'], [45, 50, 'DESTINATION']]"
Je suis ravi de me rendre à Angers depuis Bordeaux pour participer à la course caritative,"[[29, 35, 'DESTINATION'], [43, 51, 'DEPARTURE']]"
"J'ai un rendez-vous à Paris avec l'équipe de design, alors je quitte Nice pour la capitale","[[23, 28, 'DESTINATION'], [70, 74, 'DEPARTURE']]"
"En partant de Strasbourg, je vais à Montpellier pour rencontrer le consultant en marketing, Mme Martin","[[15, 25, 'DEPARTURE'], [37, 48, 'DESTINATION']]"
Je souhaite me rendre à Lyon depuis Grenoble pour assister à la pièce de théâtre de la compagnie théâtrale locale,"[[25, 29, 'DESTINATION'], [37, 45, 'DEPARTURE']]"
Comment partir de Lyon pour aller à Bordeaux en train ?,"[[19, 23, 'DEPARTURE'], [37, 45, 'DESTINATION']]"
Quel est le meilleur moyen de se rendre de Toulouse à Marseille en train ?,"[[44, 52, 'DEPARTURE'], [55, 64, 'DESTINATION']]"
Comment faire pour me rendre de Paris à Nice en train ?,"[[33, 38, 'DEPARTURE'], [41, 45, 'DESTINATION']]"
Existe-t-il un train direct de Bordeaux à Lyon ?,"[[32, 40, 'DEPARTURE'], [43, 47, 'DESTINATION']]"
Comment se rendre de Marseille à Angers en train ?,"[[22, 31, 'DEPARTURE'], [34, 40, 'DESTINATION']]"
Quels sont les tarifs pour un billet de train de Clermont-Ferrand à Nîmes ?,"[[50, 66, 'DEPARTURE'], [69, 74, 'DESTINATION']]"
Comment planifier un voyage en train de Strasbourg à Paris ?,"[[41, 51, 'DEPARTURE'], [54, 59, 'DESTINATION']]"
Y a-t-il des trains rapides de Lille à Paris ?,"[[32, 37, 'DEPARTURE'], [40, 45, 'DESTINATION']]"
Comment puis-je rejoindre la gare de Lyon depuis le centre de Paris ?,"[[38, 42, 'DESTINATION'], [63, 68, 'DEPARTURE']]"
Quelles options de transport en train sont disponibles de Nice à Rennes ?,"[[59, 63, 'DEPARTURE'], [66, 72, 'DESTINATION']]"
Je découvre les musées de Paris,[]
J'apprécie une soirée à Nice,[]
Je me détends sur la plage de Cannes,[]
Je visite les monuments historiques de Marseille,[]
Je me balade dans les rues de Bordeaux,[]
Je profite de la vie nocturne de Toulouse,[]
J'admire la vue depuis la Tour Eiffel à Paris,[]
Je me perds dans les quartiers animés de Lyon,[]
Je flâne le long de la promenade des Anglais à Nice,[]
J'explore les parcs de Strasbourg,[]
I wish to go from Toulouse to Paris,[]
"Verlasse Lyon, um nach Marseille zu gehen",[]
Salgo de Burdeos para ir a Estrasburgo,[]
Sto partendo da Nizza per andare a Montpellier,[]
Verlaat Bordeaux om naar Lille te gaan,[]
Ich möchte von Nîmes nach Angers reisen,[]
Estoy saliendo de Grenoble para ir a Clermont-Ferrand,[]
Sono in partenza da Marsiglia per andare a Bordeaux,[]
Jag lämnar Toulouse för att åka till Paris,[]
J'adore passer du temps à lire,[]
Les voyages forment la jeunesse,[]
La musique apaise mon âme,[]
Les amis sont comme une deuxième famille,[]
Le sport est une excellente façon de rester en forme,[]
La nature est belle et apaisante,[]
La cuisine française est réputée pour sa délicatesse,[]
Apprendre une nouvelle langue est enrichissant,[]
Rire est le meilleur remède,[]
La technologie a transformé nos vies,[]
Peut-être que ce week-end je prendrais un train Strasbourg - Paris.,"[[48, 58, 'DEPARTURE'], [61, 66, 'DESTINATION']]"
Je vais faire le trajet Marseille / Bordeaux demain.,"[[24, 33, 'DEPARTURE'], [36, 44, 'DESTINATION']]"
Mon parcours Lyon - Bretagne est déjà planifié.,"[[13, 17, 'DEPARTURE'], [20, 28, 'DESTINATION']]"
Voici mon prochain voyage : Clermont-Ferrand Nantes.,"[[28, 44, 'DEPARTURE'], [45, 51, 'DESTINATION']]"
Faire Nice - Angers en voiture me semble long.,"[[6, 10, 'DEPARTURE'], [13, 19, 'DESTINATION']]"
Je prends la voiture demain pour l'itinéraire Tours / Metz.,"[[46, 51, 'DEPARTURE'], [54, 58, 'DESTINATION']]"
Mon frère va conduire le trajet Amiens / Nancy pour se rendre à une conférence.,"[[32, 38, 'DEPARTURE'], [41, 46, 'DESTINATION']]"
Est-ce qu'il y a un train Brest - Rouen la semaine prochaine ?,"[[26, 31, 'DEPARTURE'], [34, 39, 'DESTINATION']]"
Je fais Brest Cologne pour le travail.,"[[8, 13, 'DEPARTURE'], [14, 21, 'DESTINATION']]"
Mon ami a quitté Lyon pour aller s'acheter un nouvel iPhone de la marque Apple à Paris,"[[17, 21, 'DEPARTURE'], [81, 86, 'DESTINATION']]"
Je me prépare pour le Grand Marathon La Rochelle Orléans.,"[[37, 48, 'DEPARTURE'], [49, 56, 'DESTINATION']]"
Courir à pieds Hyères Créteil va me prendre beaucoup de temps.,"[[15, 21, 'DEPARTURE'], [22, 29, 'DESTINATION']]"
Je compte quitter Aubervilliers pour me rendre à Tourcoing acheter un PC de la marque LENOVO.,"[[18, 31, 'DEPARTURE'], [49, 58, 'DESTINATION']]"
"En partant de Nîmes, je veux rejoindre Angers en passant par Bordeaux.","[[15, 20, 'DEPARTURE'], [40, 46, 'DESTINATION'], [62, 70, 'ESCALE']]"
Je quitte Grenoble pour me rendre à Clermont-Ferrand en faisant une escale à Nice.,"[[11, 19, 'DEPARTURE'], [37, 53, 'DESTINATION'], [78, 82, 'ESCALE']]"
Je souhaite me rendre à Bordeaux en partant de Marseille avec un arrêt à Toulon.,"[[25, 33, 'DESTINATION'], [48, 57, 'DEPARTURE'], [74, 80, 'ESCALE']]"
"Je pars de Strasbourg, je passe par Toulouse et je m'arrête à Lyon.","[[12, 22, 'DEPARTURE'], [37, 45, 'ESCALE'], [63, 67, 'DESTINATION']]"
Paris est ma ville de départ pour aller à Lille en passant par Brest.,"[[1, 6, 'DEPARTURE'], [43, 48, 'DESTINATION'], [64, 69, 'ESCALE']]"
"Je quitte Montpellier pour me rendre à Orléans, puis à Toulouse.","[[11, 22, 'DEPARTURE'], [40, 47, 'ESCALE'], [56, 64, 'DESTINATION']]"
"En partant de Marseille, je veux me rendre Toulon puis à Nice.","[[15, 24, 'DEPARTURE'], [44, 50, 'ESCALE'], [58, 62, 'DESTINATION']]"
Je pars de Lille pour rejoindre Rennes en passant par Tourcoing.,"[[12, 17, 'DEPARTURE'], [33, 39, 'DESTINATION'], [55, 64, 'ESCALE']]"
Je souhaite me rendre à Lyon en passant par Rennes et en partant de Toulon.,"[[25, 29, 'DESTINATION'], [45, 51, 'ESCALE'], [69, 75, 'DEPARTURE']]"
Je quitte Clermont-Ferrand pour aller à Nîmes en faisant une escale à Paris.,"[[11, 27, 'DEPARTURE'], [41, 46, 'DESTINATION'], [71, 76, 'ESCALE']]"
"En partant d'Angers, je veux me rendre à Bordeaux après avoir séjourné chez ma sœur à Metz.","[[12, 20, 'DEPARTURE'], [42, 50, 'DESTINATION'], [87, 91, 'ESCALE']]"
"Je pars de Toulouse, je récupère mon frère à Annecy et on se rend à Paris.","[[12, 20, 'DEPARTURE'], [46, 52, 'ESCALE'], [69, 74, 'DESTINATION']]"
Je veux me rendre à Rome en quittant Paris.,"[[20, 24, 'DESTINATION'], [37, 42, 'DEPARTURE']]"
Je veux aller à Brest en démarrant de Bordeaux.,"[[16, 21, 'DESTINATION'], [38, 46, 'DEPARTURE']]"
Je compte visiter un musée à Lille en quittant Angers.,"[[29, 34, 'DESTINATION'], [47, 53, 'DEPARTURE']]"
Je dois regarder les trains Toulouse - Brest pour aller voir mon ami Albert.,"[[28, 36, 'DEPARTURE'], [39, 44, 'DESTINATION']]"
Je dois planifier un voyage Nice Toulouse pour les prochaines vacances.,"[[28, 32, 'DEPARTURE'], [33, 41, 'DESTINATION']]"
Je dois planifier un voyage Nice Toulouse en passant par Aubervilliers pour les prochaines vacances.,"[[28, 32, 'DEPARTURE'], [33, 41, 'DESTINATION'], [57, 70, 'ESCALE']]"
Une réunion de travail m'oblige à faire Paris - Clermont-Ferrand en m'arrêtant à Lyon la semaine prochaine.,"[[40, 45, 'DEPARTURE'], [48, 64, 'DESTINATION'], [81, 85, 'ESCALE']]"
Je pars de Lille pour aller à Nice.,"[[12, 17, 'DEPARTURE'], [33, 38, 'DESTINATION']]"
"En voyageant de Paris à Lyon, je vais faire une escale à Dijon.","[[25, 30, 'DEPARTURE'], [38, 43, 'DESTINATION'], [44, 49, 'ESCALE']]"
Je quitte Bordeaux pour rejoindre Toulouse en passant par Montpellier.,"[[25, 33, 'DEPARTURE'], [44, 51, 'DESTINATION'], [58, 67, 'ESCALE']]"
Mon trajet de Strasbourg à Marseille inclut une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [35, 42, 'DESTINATION'], [55, 60, 'ESCALE']]"
Je vais de Rennes à Nantes avec un arrêt à Angers.,"[[15, 22, 'DEPARTURE'], [30, 36, 'DESTINATION'], [40, 46, 'ESCALE']]"
Je quitte Nice pour aller à Lille en faisant une escale à Paris.,"[[12, 17, 'DEPARTURE'], [27, 32, 'DESTINATION'], [39, 44, 'ESCALE']]"
"Je pars de Clermont-Ferrand pour Nîmes, en passant par Montpellier.","[[20, 30, 'DEPARTURE'], [35, 40, 'DESTINATION'], [42, 51, 'ESCALE']]"
Je souhaite me rendre de Marseille à Bordeaux avec un arrêt à Toulouse.,"[[30, 36, 'DEPARTURE'], [44, 52, 'DESTINATION'], [59, 66, 'ESCALE']]"
Je voyage de Lyon à Lille en m'arrêtant à Reims.,"[[15, 20, 'DEPARTURE'], [30, 36, 'DESTINATION'], [40, 46, 'ESCALE']]"
Je quitte Montpellier pour aller à Strasbourg en passant par Dijon.,"[[22, 30, 'DEPARTURE'], [39, 45, 'DESTINATION'], [52, 58, 'ESCALE']]"
"Je pars de Toulouse pour visiter Marseille, avec une escale à Montpellier.","[[15, 20, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 56, 'ESCALE']]"
Je souhaite aller de Nantes à Clermont-Ferrand en m'arrêtant à Limoges.,"[[28, 35, 'DEPARTURE'], [41, 50, 'DESTINATION'], [52, 60, 'ESCALE']]"
Je vais de Lyon à Paris en faisant une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 43, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je pars de Lille pour Strasbourg, avec un arrêt à Nancy.","[[12, 17, 'DEPARTURE'], [29, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je voyage de Toulouse à Nice, en passant par Marseille.","[[20, 25, 'DEPARTURE'], [30, 35, 'DESTINATION'], [40, 46, 'ESCALE']]"
"Je quitte Angers pour aller à Bordeaux, avec une escale à Nantes.","[[12, 19, 'DEPARTURE'], [27, 33, 'DESTINATION'], [41, 48, 'ESCALE']]"
"Je pars de Clermont-Ferrand pour Paris, en faisant une escale à Lyon.","[[20, 30, 'DEPARTURE'], [36, 43, 'DESTINATION'], [50, 55, 'ESCALE']]"
Je souhaite aller de Marseille à Lille avec une escale à Lyon.,"[[30, 36, 'DEPARTURE'], [44, 51, 'DESTINATION'], [60, 67, 'ESCALE']]"
Je vais de Rennes à Nice en passant par Lyon.,"[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 56, 'ESCALE']]"
"Je quitte Bordeaux pour aller à Toulouse, avec une escale à Carcassonne.","[[22, 30, 'DEPARTURE'], [38, 45, 'DESTINATION'], [52, 60, 'ESCALE']]"
Je pars de Paris pour rejoindre Nice en m'arrêtant à Marseille.,"[[25, 30, 'DEPARTURE'], [36, 43, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Clermont-Ferrand avec une escale à Dijon.,"[[12, 17, 'DEPARTURE'], [38, 43, 'DESTINATION'], [44, 49, 'ESCALE']]"
"Je vais de Toulouse à Nantes, en m'arrêtant à Angers.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
Je pars de Strasbourg pour Lyon avec une escale à Dijon.,"[[12, 22, 'DEPARTURE'], [38, 43, 'DESTINATION'], [49, 54, 'ESCALE']]"
"Je vais de Marseille à Bordeaux, en m'arrêtant à Toulouse.","[[30, 36, 'DEPARTURE'], [44, 50, 'DESTINATION'], [56, 62, 'ESCALE']]"
Je quitte Nice pour aller à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je voyage de Lyon à Strasbourg, avec une escale à Dijon.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
Je souhaite aller de Bordeaux à Nantes en passant par Angers.,"[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Marseille pour aller à Clermont-Ferrand en m'arrêtant à Lyon.,"[[30, 36, 'DEPARTURE'], [44, 51, 'DESTINATION'], [58, 64, 'ESCALE']]"
Je vais de Nice à Toulouse en passant par Montpellier.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je souhaite aller de Lille à Paris, avec une escale à Amiens.","[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nantes pour rejoindre Bordeaux en faisant une escale à Angers.,"[[12, 19, 'DEPARTURE'], [27, 33, 'DESTINATION'], [41, 48, 'ESCALE']]"
"Je quitte Toulouse pour aller à Lyon, avec un arrêt à Montpellier.","[[20, 25, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je vais de Paris à Nice en passant par Marseille.,"[[25, 30, 'DEPARTURE'], [36, 43, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je voyage de Strasbourg à Lille, avec une escale à Amiens.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je souhaite aller de Clermont-Ferrand à Nantes avec un arrêt à Lyon.,"[[20, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
Je pars de Marseille pour Bordeaux en faisant une escale à Toulouse.,"[[30, 36, 'DEPARTURE'], [44, 50, 'DESTINATION'], [58, 64, 'ESCALE']]"
"Je vais de Lille à Lyon, avec un arrêt à Reims.","[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je quitte Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je voyage de Bordeaux à Nantes en passant par Angers.,"[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Toulouse à Paris en faisant une escale à Lyon.,"[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Strasbourg pour aller à Bordeaux, en passant par Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite voyager de Nice à Lille avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
