text,entities
"En partant de Toulon, je vais à Lyon pour rencontrer le fondateur de notre startup","[{'start': 15, 'end': 21, 'label': 'DEPARTURE'}, {'start': 33, 'end': 37, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Nice,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 48, 'label': 'DEPARTURE'}]"
Je quitte Nice pour me rendre à Montpellier,"[{'start': 11, 'end': 15, 'label': 'DEPARTURE'}, {'start': 33, 'end': 44, 'label': 'DESTINATION'}]"
Je pars de Lyon pour rejoindre Paris,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 37, 'label': 'DESTINATION'}]"
Je pars de Lyon pour rejoindre Angers,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 38, 'label': 'DESTINATION'}]"
Je prends la voiture demain pour l'itinéraire Tours / Metz.,"[{'start': 46, 'end': 51, 'label': 'DEPARTURE'}, {'start': 54, 'end': 58, 'label': 'DESTINATION'}]"
Je fais Brest Cologne pour le travail.,"[{'start': 8, 'end': 13, 'label': 'DEPARTURE'}, {'start': 14, 'end': 21, 'label': 'DESTINATION'}]"
Je me prépare pour le Grand Marathon La Rochelle Orléans.,"[{'start': 37, 'end': 48, 'label': 'DEPARTURE'}, {'start': 49, 'end': 56, 'label': 'DESTINATION'}]"
Y a-t-il des trains rapides de Lille à Paris ?,"[{'start': 32, 'end': 37, 'label': 'DEPARTURE'}, {'start': 40, 'end': 45, 'label': 'DESTINATION'}]"
Je pars de Lille pour rejoindre Rennes en passant par Tourcoing.,"[{'start': 12, 'end': 17, 'label': 'DEPARTURE'}, {'start': 33, 'end': 39, 'label': 'DESTINATION'}, {'start': 55, 'end': 64, 'label': 'ESCALE'}]"
"En provenance de la charmante cité de Marseille, je désire me rendre à la magnifique ville de Nice","[{'start': 39, 'end': 48, 'label': 'DEPARTURE'}, {'start': 95, 'end': 99, 'label': 'DESTINATION'}]"
Je suis ravi de me rendre à Angers depuis Bordeaux pour participer à la course caritative,"[{'start': 29, 'end': 35, 'label': 'DESTINATION'}, {'start': 43, 'end': 51, 'label': 'DEPARTURE'}]"
Je souhaite me rendre à Lyon en partant de Clermont-Ferrand,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 60, 'label': 'DEPARTURE'}]"
"En partant de Nîmes, je veux rejoindre Angers","[{'start': 15, 'end': 20, 'label': 'DEPARTURE'}, {'start': 40, 'end': 46, 'label': 'DESTINATION'}]"
Est-ce qu'il y a un train Brest - Rouen la semaine prochaine ?,"[{'start': 26, 'end': 31, 'label': 'DEPARTURE'}, {'start': 34, 'end': 39, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Bordeaux,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 52, 'label': 'DEPARTURE'}]"
Je projette de transiter de Nice à Lille,"[{'start': 29, 'end': 33, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Rennes,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 38, 'label': 'DESTINATION'}]"
Je pars de Lyon pour rejoindre Rennes,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 38, 'label': 'DESTINATION'}]"
Je pars de Toulouse pour rejoindre Paris,"[{'start': 12, 'end': 20, 'label': 'DEPARTURE'}, {'start': 36, 'end': 41, 'label': 'DESTINATION'}]"
Mon intention est de partir de la pittoresque ville de Nice pour rejoindre la séduisante cité de Montpellier,"[{'start': 56, 'end': 60, 'label': 'DEPARTURE'}, {'start': 98, 'end': 109, 'label': 'DESTINATION'}]"
Je pars de Lyon pour rejoindre Montpellier,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 43, 'label': 'DESTINATION'}]"
Je quitte Montpellier pour Toulouse afin de célébrer le mariage de ma sœur Paris,"[{'start': 11, 'end': 22, 'label': 'DEPARTURE'}, {'start': 28, 'end': 36, 'label': 'DESTINATION'}]"
Courir à pieds Hyères Créteil va me prendre beaucoup de temps.,"[{'start': 15, 'end': 21, 'label': 'DEPARTURE'}, {'start': 22, 'end': 29, 'label': 'DESTINATION'}]"
Je veux aller voir mon ami à Lyon en partant de Marseille.,"[{'start': 36, 'end': 40, 'label': 'DESTINATION'}, {'start': 55, 'end': 64, 'label': 'DEPARTURE'}]"
