text,entities
Je prévois de me rendre à Paris depuis Toulouse pour assister à une conférence sur l'intelligence artificielle,"[{'start': 27, 'end': 32, 'label': 'DESTINATION'}, {'start': 40, 'end': 48, 'label': 'DEPARTURE'}]"
Mon ami Pierre et moi quittons Lyon pour une escapade à Marseille ce week-end,"[{'start': 32, 'end': 36, 'label': 'DEPARTURE'}, {'start': 57, 'end': 66, 'label': 'DESTINATION'}]"
"En tant que représentant de l'entreprise Paris Transport, je pars de Bordeaux pour rencontrer nos partenaires à Lille","[{'start': 70, 'end': 78, 'label': 'DEPARTURE'}, {'start': 113, 'end': 118, 'label': 'DESTINATION'}]"
J'ai réservé un vol depuis Nantes pour me rendre à Strasbourg et rencontrer M. Toulon.,"[{'start': 28, 'end': 34, 'label': 'DEPARTURE'}, {'start': 52, 'end': 62, 'label': 'DESTINATION'}]"
Je m'envole depuis Nice pour Montpellier afin de participer à un événement caritatif,"[{'start': 20, 'end': 24, 'label': 'DEPARTURE'}, {'start': 30, 'end': 41, 'label': 'DESTINATION'}]"
"Dans le cadre de mon travail, je dois quitter Rennes pour Toulon afin d'inspecter nos installations","[{'start': 47, 'end': 53, 'label': 'DEPARTURE'}, {'start': 59, 'end': 65, 'label': 'DESTINATION'}]"
"En partant de Nîmes, je vais à Angers pour une réunion importante avec l'équipe de développement","[{'start': 15, 'end': 20, 'label': 'DEPARTURE'}, {'start': 32, 'end': 38, 'label': 'DESTINATION'}]"
Mon collègue et moi quittons Grenoble pour Clermont-Ferrand afin de participer à une formation,"[{'start': 30, 'end': 38, 'label': 'DEPARTURE'}, {'start': 44, 'end': 60, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Bordeaux depuis Marseille pour visiter le musée d'art contemporain,"[{'start': 25, 'end': 33, 'label': 'DESTINATION'}, {'start': 41, 'end': 50, 'label': 'DEPARTURE'}]"
"J'ai réservé un billet de train depuis Strasbourg pour Lyon, où je retrouverai l'écrivain célèbre Jean Clermont","[{'start': 40, 'end': 50, 'label': 'DEPARTURE'}, {'start': 56, 'end': 60, 'label': 'DESTINATION'}]"
"Le club de randonnée organise un voyage, et je pars de Paris pour rejoindre Lille avec le groupe Nice Hiking","[{'start': 56, 'end': 61, 'label': 'DEPARTURE'}, {'start': 77, 'end': 82, 'label': 'DESTINATION'}]"
Je quitte Montpellier pour Toulouse afin de célébrer le mariage de ma sœur Paris,"[{'start': 11, 'end': 22, 'label': 'DEPARTURE'}, {'start': 28, 'end': 36, 'label': 'DESTINATION'}]"
"En tant que membre de l'orchestre, je pars de Marseille pour Nice, où nous donnerons un concert","[{'start': 47, 'end': 56, 'label': 'DEPARTURE'}, {'start': 62, 'end': 66, 'label': 'DESTINATION'}]"
"J'ai été invité à une conférence à Lille, alors je pars de Rennes pour m'y rendre","[{'start': 36, 'end': 41, 'label': 'DESTINATION'}, {'start': 60, 'end': 66, 'label': 'DEPARTURE'}]"
"En partant de Toulon, je vais à Lyon pour rencontrer le fondateur de notre startup","[{'start': 15, 'end': 21, 'label': 'DEPARTURE'}, {'start': 33, 'end': 37, 'label': 'DESTINATION'}]"
Je prévois de quitter Clermont-Ferrand pour Nîmes et rendre visite à mon ami d'enfance,"[{'start': 23, 'end': 39, 'label': 'DEPARTURE'}, {'start': 45, 'end': 50, 'label': 'DESTINATION'}]"
Je suis ravi de me rendre à Angers depuis Bordeaux pour participer à la course caritative,"[{'start': 29, 'end': 35, 'label': 'DESTINATION'}, {'start': 43, 'end': 51, 'label': 'DEPARTURE'}]"
"J'ai un rendez-vous à Paris avec l'équipe de design, alors je quitte Nice pour la capitale","[{'start': 23, 'end': 28, 'label': 'DESTINATION'}, {'start': 70, 'end': 74, 'label': 'DEPARTURE'}]"
"En partant de Strasbourg, je vais à Montpellier pour rencontrer le consultant en marketing, Mme Martin","[{'start': 15, 'end': 25, 'label': 'DEPARTURE'}, {'start': 37, 'end': 48, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon depuis Grenoble pour assister à la pièce de théâtre de la compagnie théâtrale locale,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 37, 'end': 45, 'label': 'DEPARTURE'}]"
Comment partir de Lyon pour aller à Bordeaux en train ?,"[{'start': 19, 'end': 23, 'label': 'DEPARTURE'}, {'start': 37, 'end': 45, 'label': 'DESTINATION'}]"
Quel est le meilleur moyen de se rendre de Toulouse à Marseille en train ?,"[{'start': 44, 'end': 52, 'label': 'DEPARTURE'}, {'start': 55, 'end': 64, 'label': 'DESTINATION'}]"
Comment faire pour me rendre de Paris à Nice en train ?,"[{'start': 33, 'end': 38, 'label': 'DEPARTURE'}, {'start': 41, 'end': 45, 'label': 'DESTINATION'}]"
Existe-t-il un train direct de Bordeaux à Lyon ?,"[{'start': 32, 'end': 40, 'label': 'DEPARTURE'}, {'start': 43, 'end': 47, 'label': 'DESTINATION'}]"
Comment se rendre de Marseille à Angers en train ?,"[{'start': 22, 'end': 31, 'label': 'DEPARTURE'}, {'start': 34, 'end': 40, 'label': 'DESTINATION'}]"
Quels sont les tarifs pour un billet de train de Clermont-Ferrand à Nîmes ?,"[{'start': 50, 'end': 66, 'label': 'DEPARTURE'}, {'start': 69, 'end': 74, 'label': 'DESTINATION'}]"
Comment planifier un voyage en train de Strasbourg à Paris ?,"[{'start': 41, 'end': 51, 'label': 'DEPARTURE'}, {'start': 54, 'end': 59, 'label': 'DESTINATION'}]"
Y a-t-il des trains rapides de Lille à Paris ?,"[{'start': 32, 'end': 37, 'label': 'DEPARTURE'}, {'start': 40, 'end': 45, 'label': 'DESTINATION'}]"
Comment puis-je rejoindre la gare de Lyon depuis le centre de Paris ?,"[{'start': 38, 'end': 42, 'label': 'DESTINATION'}, {'start': 63, 'end': 68, 'label': 'DEPARTURE'}]"
Quelles options de transport en train sont disponibles de Nice à Rennes ?,"[{'start': 59, 'end': 63, 'label': 'DEPARTURE'}, {'start': 66, 'end': 72, 'label': 'DESTINATION'}]"
Peut-être que ce week-end je prendrais un train Strasbourg - Paris.,"[{'start': 48, 'end': 58, 'label': 'DEPARTURE'}, {'start': 61, 'end': 66, 'label': 'DESTINATION'}]"
Je vais faire le trajet Marseille / Bordeaux demain.,"[{'start': 24, 'end': 33, 'label': 'DEPARTURE'}, {'start': 36, 'end': 44, 'label': 'DESTINATION'}]"
Mon parcours Lyon - Bretagne est déjà planifié.,"[{'start': 13, 'end': 17, 'label': 'DEPARTURE'}, {'start': 20, 'end': 28, 'label': 'DESTINATION'}]"
Voici mon prochain voyage : Clermont-Ferrand Nantes.,"[{'start': 28, 'end': 44, 'label': 'DEPARTURE'}, {'start': 45, 'end': 51, 'label': 'DESTINATION'}]"
Faire Nice - Angers en voiture me semble long.,"[{'start': 6, 'end': 10, 'label': 'DEPARTURE'}, {'start': 13, 'end': 19, 'label': 'DESTINATION'}]"
Je prends la voiture demain pour l'itinéraire Tours / Metz.,"[{'start': 46, 'end': 51, 'label': 'DEPARTURE'}, {'start': 54, 'end': 58, 'label': 'DESTINATION'}]"
Mon frère va conduire le trajet Amiens / Nancy pour se rendre à une conférence.,"[{'start': 32, 'end': 38, 'label': 'DEPARTURE'}, {'start': 41, 'end': 46, 'label': 'DESTINATION'}]"
Est-ce qu'il y a un train Brest - Rouen la semaine prochaine ?,"[{'start': 26, 'end': 31, 'label': 'DEPARTURE'}, {'start': 34, 'end': 39, 'label': 'DESTINATION'}]"
Je fais Brest Cologne pour le travail.,"[{'start': 8, 'end': 13, 'label': 'DEPARTURE'}, {'start': 14, 'end': 21, 'label': 'DESTINATION'}]"
Mon ami a quitté Lyon pour aller s'acheter un nouvel iPhone de la marque Apple à Paris,"[{'start': 17, 'end': 21, 'label': 'DEPARTURE'}, {'start': 81, 'end': 86, 'label': 'DESTINATION'}]"
Je me prépare pour le Grand Marathon La Rochelle Orléans.,"[{'start': 37, 'end': 48, 'label': 'DEPARTURE'}, {'start': 49, 'end': 56, 'label': 'DESTINATION'}]"
Courir à pieds Hyères Créteil va me prendre beaucoup de temps.,"[{'start': 15, 'end': 21, 'label': 'DEPARTURE'}, {'start': 22, 'end': 29, 'label': 'DESTINATION'}]"
Je compte quitter Aubervilliers pour me rendre à Tourcoing acheter un PC de la marque LENOVO.,"[{'start': 18, 'end': 31, 'label': 'DEPARTURE'}, {'start': 49, 'end': 58, 'label': 'DESTINATION'}]"
"En partant de Nîmes, je veux rejoindre Angers en passant par Bordeaux.","[{'start': 15, 'end': 20, 'label': 'DEPARTURE'}, {'start': 40, 'end': 46, 'label': 'DESTINATION'}, {'start': 62, 'end': 70, 'label': 'ESCALE'}]"
Je quitte Grenoble pour me rendre à Clermont-Ferrand en faisant une escale à Nice.,"[{'start': 11, 'end': 19, 'label': 'DEPARTURE'}, {'start': 37, 'end': 53, 'label': 'DESTINATION'}, {'start': 78, 'end': 82, 'label': 'ESCALE'}]"
Je souhaite me rendre à Bordeaux en partant de Marseille avec un arrêt à Toulon.,"[{'start': 25, 'end': 33, 'label': 'DESTINATION'}, {'start': 48, 'end': 57, 'label': 'DEPARTURE'}, {'start': 74, 'end': 80, 'label': 'ESCALE'}]"
"Je pars de Strasbourg, je passe par Toulouse et je m'arrête à Lyon.","[{'start': 12, 'end': 22, 'label': 'DEPARTURE'}, {'start': 37, 'end': 45, 'label': 'ESCALE'}, {'start': 63, 'end': 67, 'label': 'DESTINATION'}]"
Paris est ma ville de départ pour aller à Lille en passant par Brest.,"[{'start': 1, 'end': 6, 'label': 'DEPARTURE'}, {'start': 43, 'end': 48, 'label': 'DESTINATION'}, {'start': 64, 'end': 69, 'label': 'ESCALE'}]"
"Je quitte Montpellier pour me rendre à Orléans, puis à Toulouse.","[{'start': 11, 'end': 22, 'label': 'DEPARTURE'}, {'start': 40, 'end': 47, 'label': 'ESCALE'}, {'start': 56, 'end': 64, 'label': 'DESTINATION'}]"
"En partant de Marseille, je veux me rendre Toulon puis à Nice.","[{'start': 15, 'end': 24, 'label': 'DEPARTURE'}, {'start': 44, 'end': 50, 'label': 'ESCALE'}, {'start': 58, 'end': 62, 'label': 'DESTINATION'}]"
Je pars de Lille pour rejoindre Rennes en passant par Tourcoing.,"[{'start': 12, 'end': 17, 'label': 'DEPARTURE'}, {'start': 33, 'end': 39, 'label': 'DESTINATION'}, {'start': 55, 'end': 64, 'label': 'ESCALE'}]"
Je souhaite me rendre à Lyon en passant par Rennes et en partant de Toulon.,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 45, 'end': 51, 'label': 'ESCALE'}, {'start': 69, 'end': 75, 'label': 'DEPARTURE'}]"
Je quitte Clermont-Ferrand pour aller à Nîmes en faisant une escale à Paris.,"[{'start': 11, 'end': 27, 'label': 'DEPARTURE'}, {'start': 41, 'end': 46, 'label': 'DESTINATION'}, {'start': 71, 'end': 76, 'label': 'ESCALE'}]"
"En partant d'Angers, je veux me rendre à Bordeaux après avoir séjourné chez ma sœur à Metz.","[{'start': 12, 'end': 20, 'label': 'DEPARTURE'}, {'start': 42, 'end': 50, 'label': 'DESTINATION'}, {'start': 87, 'end': 91, 'label': 'ESCALE'}]"
"Je pars de Toulouse, je récupère mon frère à Annecy et on se rend à Paris.","[{'start': 12, 'end': 20, 'label': 'DEPARTURE'}, {'start': 46, 'end': 52, 'label': 'ESCALE'}, {'start': 69, 'end': 74, 'label': 'DESTINATION'}]"
Je veux me rendre à Rome en quittant Paris.,"[{'start': 20, 'end': 24, 'label': 'DESTINATION'}, {'start': 37, 'end': 42, 'label': 'DEPARTURE'}]"
Je veux aller à Brest en démarrant de Bordeaux.,"[{'start': 16, 'end': 21, 'label': 'DESTINATION'}, {'start': 38, 'end': 46, 'label': 'DEPARTURE'}]"
Je compte visiter un musée à Lille en quittant Angers.,"[{'start': 29, 'end': 34, 'label': 'DESTINATION'}, {'start': 47, 'end': 53, 'label': 'DEPARTURE'}]"
Je dois regarder les trains Toulouse - Brest pour aller voir mon ami Albert.,"[{'start': 28, 'end': 36, 'label': 'DEPARTURE'}, {'start': 39, 'end': 44, 'label': 'DESTINATION'}]"
Je dois planifier un voyage Nice Toulouse pour les prochaines vacances.,"[{'start': 28, 'end': 32, 'label': 'DEPARTURE'}, {'start': 33, 'end': 41, 'label': 'DESTINATION'}]"
Je dois planifier un voyage Nice Toulouse en passant par Aubervilliers pour les prochaines vacances.,"[{'start': 28, 'end': 32, 'label': 'DEPARTURE'}, {'start': 33, 'end': 41, 'label': 'DESTINATION'}, {'start': 57, 'end': 70, 'label': 'ESCALE'}]"
Une réunion de travail m'oblige à faire Paris - Clermont-Ferrand en m'arrêtant à Lyon la semaine prochaine.,"[{'start': 40, 'end': 45, 'label': 'DEPARTURE'}, {'start': 48, 'end': 64, 'label': 'DESTINATION'}, {'start': 81, 'end': 85, 'label': 'ESCALE'}]"
Je voudrais aller de Paris à Lyon.,"[{'start': 21, 'end': 26, 'label': 'DEPARTURE'}, {'start': 29, 'end': 33, 'label': 'DESTINATION'}]"
Comment me rendre à Lyon depuis Bordeaux ?,"[{'start': 20, 'end': 25, 'label': 'DESTINATION'}, {'start': 34, 'end': 42, 'label': 'DEPARTURE'}]"
Je veux aller voir mon ami à Lyon en partant de Marseille.,"[{'start': 36, 'end': 40, 'label': 'DESTINATION'}, {'start': 55, 'end': 64, 'label': 'DEPARTURE'}]"
Y a-t-il des trains de Lyon à Grenoble ?,"[{'start': 23, 'end': 27, 'label': 'DEPARTURE'}, {'start': 30, 'end': 38, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Paris en partant de Lyon,"[{'start': 25, 'end': 30, 'label': 'DESTINATION'}, {'start': 45, 'end': 49, 'label': 'DEPARTURE'}]"
Je quitte Lyon pour aller à Marseille,"[{'start': 11, 'end': 15, 'label': 'DEPARTURE'}, {'start': 29, 'end': 38, 'label': 'DESTINATION'}]"
En partant de Lyon, je veux me rendre à Lille","[{'start': 15, 'end': 19, 'label': 'DEPARTURE'}, {'start': 41, 'end': 46, 'label': 'DESTINATION'}]"
Lyon est ma ville de départ pour rejoindre Strasbourg,"[{'start': 1, 'end': 5, 'label': 'DEPARTURE'}, {'start': 44, 'end': 54, 'label': 'DESTINATION'}]"
Je pars de Lyon pour rejoindre Paris,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 37, 'label': 'DESTINATION'}]"
Je quitte Lyon pour me rendre à Toulouse,"[{'start': 11, 'end': 15, 'label': 'DEPARTURE'}, {'start': 33, 'end': 41, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Bordeaux en partant de Lyon,"[{'start': 25, 'end': 33, 'label': 'DESTINATION'}, {'start': 48, 'end': 52, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Rennes,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 38, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Toulon,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 50, 'label': 'DEPARTURE'}]"
Je quitte Lyon pour me rendre à Nîmes,"[{'start': 11, 'end': 15, 'label': 'DEPARTURE'}, {'start': 33, 'end': 38, 'label': 'DESTINATION'}]"
En partant de Lyon, je veux me rendre à Nice","[{'start': 15, 'end': 19, 'label': 'DEPARTURE'}, {'start': 41, 'end': 45, 'label': 'DESTINATION'}]"
Je pars de Lyon pour rejoindre Montpellier,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 43, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Clermont-Ferrand,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 60, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Angers,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 38, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Grenoble,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 52, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Toulouse,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 40, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Bordeaux,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 52, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Paris,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 37, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Marseille,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 53, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Lille,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 37, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Strasbourg,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 54, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Rennes,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 38, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Toulon,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 50, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Nîmes,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 37, 'label': 'DESTINATION'}]"
Je souhaite me rendre à Lyon en partant de Nice,"[{'start': 25, 'end': 29, 'label': 'DESTINATION'}, {'start': 44, 'end': 48, 'label': 'DEPARTURE'}]"
Je pars de Lyon pour rejoindre Montpellier,"[{'start': 12, 'end': 16, 'label': 'DEPARTURE'}, {'start': 32, 'end': 43, 'label': 'DESTINATION'}]"
