text,tokens,ner_tags,spacy_ner_tags
Je désire aller à CHOLET depuis VILLENEUVE-SUR-LOT. Peux-tu aider ?,"['Je', 'désire', 'aller', 'à', 'CHOLET', 'depuis', 'VILLENEUVE-SUR-LOT', '.', 'Peux', '-', 'tu', 'aider', '?']","[0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0]","[{'start': 32, 'end': 50, 'label': 'DEP'}, {'start': 18, 'end': 24, 'label': 'ARR'}]"
Je pars de SURESNES en direction de TROYES.,"['Je', 'pars', 'de', 'SURESNES', 'en', 'direction', 'de', 'TROYES', '.']","[0, 0, 0, 1, 0, 0, 0, 3, 0]","[{'start': 11, 'end': 19, 'label': 'DEP'}, {'start': 36, 'end': 42, 'label': 'ARR'}]"
Je pars de BEAUNE pour aller à BAYONNE.,"['Je', 'pars', 'de', 'BEAUNE', 'pour', 'aller', 'à', 'BAYONNE', '.']","[0, 0, 0, 1, 0, 0, 0, 3, 0]","[{'start': 11, 'end': 17, 'label': 'DEP'}, {'start': 31, 'end': 38, 'label': 'ARR'}]"
Je pars de MONTMORENCY vers FRANCONVILLE.,"['Je', 'pars', 'de', 'MONTMORENCY', 'vers', 'FRANCONVILLE', '.']","[0, 0, 0, 1, 0, 3, 0]","[{'start': 11, 'end': 22, 'label': 'DEP'}, {'start': 28, 'end': 40, 'label': 'ARR'}]"
Je prévois un voyage de MONTIGNY-LÈS-CORMEILLES à LUNEL.,"['Je', 'prévois', 'un', 'voyage', 'de', 'MONTIGNY-LÈS-CORMEILLES', 'à', 'LUNEL', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 24, 'end': 47, 'label': 'DEP'}, {'start': 50, 'end': 55, 'label': 'ARR'}]"
Je recherche un itinéraire de FRESNES à GIVORS.,"['Je', 'recherche', 'un', 'itinéraire', 'de', 'FRESNES', 'à', 'GIVORS', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 30, 'end': 37, 'label': 'DEP'}, {'start': 40, 'end': 46, 'label': 'ARR'}]"
Je recherche un itinéraire pour aller à HAGUENAU en partant de AUBAGNE.,"['Je', 'recherche', 'un', 'itinéraire', 'pour', 'aller', 'à', 'HAGUENAU', 'en', 'partant', 'de', 'AUBAGNE', '.']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 63, 'end': 70, 'label': 'DEP'}, {'start': 40, 'end': 48, 'label': 'ARR'}]"
"Je souhaite aller de CHARTRES à COUDEKERQUE-BRANCHE, s'il te plaît.","['Je', 'souhaite', 'aller', 'de', 'CHARTRES', 'à', 'COUDEKERQUE', '-', 'BRANCHE', ',', ""s'"", 'il', 'te', 'plaît', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 21, 'end': 29, 'label': 'DEP'}, {'start': 32, 'end': 51, 'label': 'ARR'}]"
Je souhaite aller à MAMOUDZOU en partant de AULNAY-SOUS-BOIS. Comment faire ?,"['Je', 'souhaite', 'aller', 'à', 'MAMOUDZOU', 'en', 'partant', 'de', 'AULNAY-SOUS-BOIS', '.', 'Comment', 'faire', '?']","[0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0]","[{'start': 44, 'end': 60, 'label': 'DEP'}, {'start': 20, 'end': 29, 'label': 'ARR'}]"
Je souhaite aller à SAINT-MANDÉ en partant de VIRY-CHÂTILLON. Comment faire ?,"['Je', 'souhaite', 'aller', 'à', 'SAINT-MANDÉ', 'en', 'partant', 'de', 'VIRY', '-', 'CHÂTILLON', '.', 'Comment', 'faire', '?']","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 46, 'end': 60, 'label': 'DEP'}, {'start': 20, 'end': 31, 'label': 'ARR'}]"
Je souhaite me déplacer vers LE CHESNAY-ROCQUENCOURT à partir de MARTIGUES.,"['Je', 'souhaite', 'me', 'déplacer', 'vers', 'LE', 'CHESNAY', '-', 'ROCQUENCOURT', 'à', 'partir', 'de', 'MARTIGUES', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[{'start': 65, 'end': 74, 'label': 'DEP'}, {'start': 29, 'end': 52, 'label': 'ARR'}]"
Je souhaite me rendre de SAINT-GERMAIN-EN-LAYE jusqu'à KOUNGOU.,"['Je', 'souhaite', 'me', 'rendre', 'de', 'SAINT-GERMAIN-EN-LAYE', ""jusqu'"", 'à', 'KOUNGOU', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 3, 0]","[{'start': 25, 'end': 46, 'label': 'DEP'}, {'start': 55, 'end': 62, 'label': 'ARR'}]"
Je souhaiterais aller à LA MADELEINE depuis GARDANNE.,"['Je', 'souhaiterais', 'aller', 'à', 'LA', 'MADELEINE', 'depuis', 'GARDANNE', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0]","[{'start': 44, 'end': 52, 'label': 'DEP'}, {'start': 24, 'end': 36, 'label': 'ARR'}]"
"Je souhaiterais me déplacer de REZÉ à PONTOISE, si c'est réalisable.","['Je', 'souhaiterais', 'me', 'déplacer', 'de', 'REZÉ', 'à', 'PONTOISE', ',', 'si', ""c'"", 'est', 'réalisable', '.']","[0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0]","[{'start': 31, 'end': 35, 'label': 'DEP'}, {'start': 38, 'end': 46, 'label': 'ARR'}]"
Je suis en train de planifier un déplacement de ORANGE à NOGENT-SUR-OISE.,"['Je', 'suis', 'en', 'train', 'de', 'planifier', 'un', 'déplacement', 'de', 'ORANGE', 'à', 'NOGENT-SUR-OISE', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 48, 'end': 54, 'label': 'DEP'}, {'start': 57, 'end': 72, 'label': 'ARR'}]"
Je vais de COUDEKERQUE-BRANCHE à VERNON.,"['Je', 'vais', 'de', 'COUDEKERQUE', '-', 'BRANCHE', 'à', 'VERNON', '.']","[0, 0, 0, 0, 0, 0, 0, 3, 0]","[{'start': 11, 'end': 30, 'label': 'DEP'}, {'start': 33, 'end': 39, 'label': 'ARR'}]"
Je vais de MEYZIEU vers ROISSY-EN-BRIE.,"['Je', 'vais', 'de', 'MEYZIEU', 'vers', 'ROISSY-EN-BRIE', '.']","[0, 0, 0, 1, 0, 3, 0]","[{'start': 11, 'end': 18, 'label': 'DEP'}, {'start': 24, 'end': 38, 'label': 'ARR'}]"
Je vais à SUCY-EN-BRIE depuis FONTAINE.,"['Je', 'vais', 'à', 'SUCY-EN-BRIE', 'depuis', 'FONTAINE', '.']","[0, 0, 0, 3, 0, 1, 0]","[{'start': 30, 'end': 38, 'label': 'DEP'}, {'start': 10, 'end': 22, 'label': 'ARR'}]"
Je vais à AUXERRE en partant de AGDE.,"['Je', 'vais', 'à', 'AUXERRE', 'en', 'partant', 'de', 'AGDE', '.']","[0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 32, 'end': 36, 'label': 'DEP'}, {'start': 10, 'end': 17, 'label': 'ARR'}]"
Je veux aller de DEUIL-LA-BARRE à BÉZIERS.,"['Je', 'veux', 'aller', 'de', 'DEUIL-LA-BARRE', 'à', 'BÉZIERS', '.']","[0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 17, 'end': 31, 'label': 'DEP'}, {'start': 34, 'end': 41, 'label': 'ARR'}]"
Je veux aller à RILLIEUX-LA-PAPE depuis PONTOISE.,"['Je', 'veux', 'aller', 'à', 'RILLIEUX-LA-PAPE', 'depuis', 'PONTOISE', '.']","[0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 40, 'end': 48, 'label': 'DEP'}, {'start': 16, 'end': 32, 'label': 'ARR'}]"
"Je voudrais savoir comment me rendre de ARRAS à SAINT-PAUL, s'il te plaît.","['Je', 'voudrais', 'savoir', 'comment', 'me', 'rendre', 'de', 'ARRAS', 'à', 'SAINT-PAUL', ',', ""s'"", 'il', 'te', 'plaît', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0]","[{'start': 40, 'end': 45, 'label': 'DEP'}, {'start': 48, 'end': 58, 'label': 'ARR'}]"
Je voudrais savoir comment me rendre de CHATOU à VIRY-CHÂTILLON.,"['Je', 'voudrais', 'savoir', 'comment', 'me', 'rendre', 'de', 'CHATOU', 'à', 'VIRY', '-', 'CHÂTILLON', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[{'start': 40, 'end': 46, 'label': 'DEP'}, {'start': 49, 'end': 63, 'label': 'ARR'}]"
"Je voudrais savoir comment me rendre à MULHOUSE depuis SAINT-BRIEUC, s'il te plaît.","['Je', 'voudrais', 'savoir', 'comment', 'me', 'rendre', 'à', 'MULHOUSE', 'depuis', 'SAINT-BRIEUC', ',', ""s'"", 'il', 'te', 'plaît', '.']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0]","[{'start': 55, 'end': 67, 'label': 'DEP'}, {'start': 39, 'end': 47, 'label': 'ARR'}]"
Je voudrais savoir comment me rendre à LE ROBERT depuis TARBES.,"['Je', 'voudrais', 'savoir', 'comment', 'me', 'rendre', 'à', 'LE', 'ROBERT', 'depuis', 'TARBES', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[{'start': 56, 'end': 62, 'label': 'DEP'}, {'start': 39, 'end': 48, 'label': 'ARR'}]"
Le voyage de LE GRAND-QUEVILLY à GUJAN-MESTRAS est ce que je recherche.,"['Le', 'voyage', 'de', 'LE', 'GRAND-QUEVILLY', 'à', 'GUJAN', '-', 'MESTRAS', 'est', 'ce', 'que', 'je', 'recherche', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 13, 'end': 30, 'label': 'DEP'}, {'start': 33, 'end': 46, 'label': 'ARR'}]"
Mon trajet va de SAINT-LAURENT-DU-MARONI à NOGENT-SUR-OISE.,"['Mon', 'trajet', 'va', 'de', 'SAINT-LAURENT-DU-MARONI', 'à', 'NOGENT-SUR-OISE', '.']","[0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 17, 'end': 40, 'label': 'DEP'}, {'start': 43, 'end': 58, 'label': 'ARR'}]"
Montre-moi le chemin pour aller à DAX à partir de REIMS.,"['Montre', '-moi', 'le', 'chemin', 'pour', 'aller', 'à', 'DAX', 'à', 'partir', 'de', 'REIMS', '.']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 50, 'end': 55, 'label': 'DEP'}, {'start': 34, 'end': 37, 'label': 'ARR'}]"
Montre-moi le chemin pour me rendre de TASSIN-LA-DEMI-LUNE à MONTREUIL.,"['Montre', '-moi', 'le', 'chemin', 'pour', 'me', 'rendre', 'de', 'TASSIN', '-', 'LA', '-', 'DEMI', '-', 'LUNE', 'à', 'MONTREUIL', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[{'start': 39, 'end': 58, 'label': 'DEP'}, {'start': 61, 'end': 70, 'label': 'ARR'}]"
Montre-moi le chemin pour passer de ANTIBES à CASTRES.,"['Montre', '-moi', 'le', 'chemin', 'pour', 'passer', 'de', 'ANTIBES', 'à', 'CASTRES', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 36, 'end': 43, 'label': 'DEP'}, {'start': 46, 'end': 53, 'label': 'ARR'}]"
Montre-moi le trajet pour aller à FLEURY-LES-AUBRAIS en partant de ALFORTVILLE.,"['Montre', '-moi', 'le', 'trajet', 'pour', 'aller', 'à', 'FLEURY-LES-AUBRAIS', 'en', 'partant', 'de', 'ALFORTVILLE', '.']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 67, 'end': 78, 'label': 'DEP'}, {'start': 34, 'end': 52, 'label': 'ARR'}]"
Partez pour BRIE-COMTE-ROBERT en partant de VINCENNES.,"['Partez', 'pour', 'BRIE', '-', 'COMTE', '-', 'ROBERT', 'en', 'partant', 'de', 'VINCENNES', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[{'start': 44, 'end': 53, 'label': 'DEP'}, {'start': 12, 'end': 29, 'label': 'ARR'}]"
Peux-tu m'aider à planifier le trajet depuis GRANDE-SYNTHE jusqu'à CASTRES ?,"['Peux', '-', 'tu', ""m'"", 'aider', 'à', 'planifier', 'le', 'trajet', 'depuis', 'GRANDE-SYNTHE', ""jusqu'"", 'à', 'CASTRES', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0]","[{'start': 45, 'end': 58, 'label': 'DEP'}, {'start': 67, 'end': 74, 'label': 'ARR'}]"
Peux-tu m'aider à trouver mon chemin de VILLEMOMBLE à SAINT-ÉTIENNE ?,"['Peux', '-', 'tu', ""m'"", 'aider', 'à', 'trouver', 'mon', 'chemin', 'de', 'VILLEMOMBLE', 'à', 'SAINT-ÉTIENNE', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 40, 'end': 51, 'label': 'DEP'}, {'start': 54, 'end': 67, 'label': 'ARR'}]"
Peux-tu m'aider à trouver mon chemin de SAINT-LAURENT-DU-MARONI à ÉVREUX ?,"['Peux', '-', 'tu', ""m'"", 'aider', 'à', 'trouver', 'mon', 'chemin', 'de', 'SAINT-LAURENT-DU-MARONI', 'à', 'ÉVREUX', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 40, 'end': 63, 'label': 'DEP'}, {'start': 66, 'end': 72, 'label': 'ARR'}]"
Peux-tu m'aider à trouver mon chemin vers CHELLES en partant de BÈGLES ?,"['Peux', '-', 'tu', ""m'"", 'aider', 'à', 'trouver', 'mon', 'chemin', 'vers', 'CHELLES', 'en', 'partant', 'de', 'BÈGLES', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0]","[{'start': 64, 'end': 70, 'label': 'DEP'}, {'start': 42, 'end': 49, 'label': 'ARR'}]"
Peux-tu me diriger vers ALENÇON depuis GRANDE-SYNTHE ?,"['Peux', '-', 'tu', 'me', 'diriger', 'vers', 'ALENÇON', 'depuis', 'GRANDE-SYNTHE', '?']","[0, 0, 0, 0, 0, 0, 3, 0, 1, 0]","[{'start': 39, 'end': 52, 'label': 'DEP'}, {'start': 24, 'end': 31, 'label': 'ARR'}]"
Peux-tu me guider de LE PERREUX-SUR-MARNE jusqu'à LES LILAS ?,"['Peux', '-', 'tu', 'me', 'guider', 'de', 'LE', 'PERREUX-SUR-MARNE', ""jusqu'"", 'à', 'LES', 'LILAS', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'start': 21, 'end': 41, 'label': 'DEP'}, {'start': 50, 'end': 59, 'label': 'ARR'}]"
Peux-tu me guider de AUXERRE vers AGDE ?,"['Peux', '-', 'tu', 'me', 'guider', 'de', 'AUXERRE', 'vers', 'AGDE', '?']","[0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 21, 'end': 28, 'label': 'DEP'}, {'start': 34, 'end': 38, 'label': 'ARR'}]"
Pourrais-tu m'aider à planifier le trajet de SAINT-LAURENT-DU-MARONI vers BAYONNE ?,"['Pourrais', '-', 'tu', ""m'"", 'aider', 'à', 'planifier', 'le', 'trajet', 'de', 'SAINT-LAURENT-DU-MARONI', 'vers', 'BAYONNE', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0]","[{'start': 45, 'end': 68, 'label': 'DEP'}, {'start': 74, 'end': 81, 'label': 'ARR'}]"
